"FilePath","ProcessingTime","OriginalSize_MB","SizeAfterReencoding_MB","SpaceSaved_MB","PercentageReduction","OriginalCodec"
"E:\rua - davince.mp4","9.30","223.69","32.49","-191.20","-85.48","h264"
"E:\rua - original.mp4","5.59","103.97","9.42","-94.55","-90.94","h264"
"E:\Amici\IMG_8674-Original.mp4","13.24","131.53","17.87","-113.66","-86.41","h264"
"E:\Amici\IMG_8674.mp4","12.43","112.35","15.01","-97.34","-86.64","h264"
"E:\Amici\novo amici\DJI_20201117_160454_070_video.mp4","2.64","105.69","13.16","-92.53","-87.55","h264"
"E:\Amici\novo amici\DJI_20201117_160655_675_video.mp4","4.24","153.05","18.35","-134.71","-88.01","h264"
"E:\Amici\novo amici\DJI_20201117_161422_940_video.mp4","2.87","120.73","16.02","-104.71","-86.73","h264"
"E:\Amici\novo amici\DJI_20201202_164422_361_video.mp4","22.80","194.06","25.03","-169.04","-87.10","h264"
"E:\Amici\novo amici\DJI_20201202_164544_565_video.mp4","36.39","577.63","32.95","-544.68","-94.30","h264"
"E:\Backup\Autodromo Portimao\ber20210921_180524076_RNONE-363.mkv","16.28","581.25","223.03","-358.22","-61.63","h264"
"E:\Backup\Autodromo Portimao\GOPR0001.mp4","42.62","1435.25","114.81","-1320.44","-92.00","h264"
"E:\Backup\Autodromo Portimao\GOPR0002.mp4","64.14","2124.43","168.95","-1955.47","-92.05","h264"
"E:\Backup\Autodromo Portimao\autodoromo\20210921_173448.mp4","3.63","128.39","21.84","-106.54","-82.99","h264"
"E:\Backup\Autodromo Portimao\autodoromo\20210921_174443.mp4","11.60","427.91","71.78","-356.13","-83.23","h264"
"E:\Backup\Autodromo Portimao\autodoromo\20210921_175220.mp4","3.15","103.80","17.49","-86.31","-83.15","h264"
"E:\Backup\Autodromo Portimao\autodoromo\20210921_175458.mp4","3.71","124.21","21.16","-103.05","-82.96","h264"
"E:\Backup\Autodromo Portimao\autodoromo\20210921_175922.mp4","3.92","136.51","23.90","-112.61","-82.49","h264"
"E:\Backup\Autodromo Portimao\autodoromo\20210921_180208.mp4","5.16","189.42","31.72","-157.70","-83.26","h264"
"E:\Backup\backup iphone\20210921_174443-Original.mp4","20.67","115.67","68.05","-47.61","-41.16","h264"
"E:\Backup\backup iphone\20210921_174443.mp4","20.53","115.67","68.05","-47.61","-41.16","h264"
"E:\Backup\backup iphone\IMG_0676.mp4","27.50","139.21","39.51","-99.70","-71.62","h264"
"E:\Backup\backup iphone\IMG_4272.mp4","68.58","190.21","175.68","-14.53","-7.64","h264"
"E:\Backup\backup iphone\IMG_8674-Original.mp4","13.74","131.53","17.87","-113.66","-86.41","h264"
"E:\Backup\backup iphone\IMG_8674.mp4","12.42","112.35","15.01","-97.34","-86.64","h264"
"E:\Backup\backup iphone\IMG_9526-Original.mp4","22.53","122.81","35.21","-87.60","-71.33","h264"
"E:\Backup\backup iphone\IMG_9594-Original.mp4","18.50","111.31","29.43","-81.88","-73.56","h264"
"E:\Backup\BACKUP IPHONE 10-2021\20210116_130059.mp4","2.17","133.44","8.41","-125.03","-93.69","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201117_160454_070_video.mp4","2.70","105.69","13.16","-92.53","-87.55","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201117_160655_675_video.mp4","3.90","153.05","18.35","-134.71","-88.01","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201117_161422_940_video.mp4","2.76","120.73","16.02","-104.71","-86.73","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201202_163931_489_video.mp4","13.33","203.56","12.30","-191.26","-93.96","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201202_164148_885_video.mp4","23.00","362.55","21.03","-341.51","-94.20","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201202_164422_361_video.mp4","23.22","194.06","25.03","-169.04","-87.10","h264"
"E:\Backup\BACKUP IPHONE 10-2021\DJI_20201202_164544_565_video.mp4","36.22","577.63","32.95","-544.68","-94.30","h264"
"E:\Backup\BACKUP IPHONE 10-2021\IMG_0492.mp4","11.18","423.84","23.34","-400.50","-94.49","h264"
"E:\Backup\DESKTOP OLD\Untitled.mp4","2.69","141.50","7.95","-133.55","-94.38","h264"
"E:\Backup\DESKTOP OLD\14 feb\GOPR1082.mp4","7.47","242.60","15.98","-226.62","-93.41","h264"
"E:\Backup\DESKTOP OLD\14 feb\GOPR1084.mp4","5.15","168.45","11.45","-157.00","-93.20","h264"
"E:\Backup\Drone & Go Pro\Drone - 11.11.2015 - Amigos-Vilamoura\DJI_0001.mp4","118.08","678.16","197.92","-480.24","-70.82","h264"
"E:\Backup\Drone & Go Pro\Drone - 11.11.2015 - Amigos-Vilamoura\DJI_0007.mp4","31.56","200.93","47.99","-152.95","-76.12","h264"
"E:\Backup\Drone & Go Pro\Drone - Praia do Lourenco - 05.09.2015\final.mp4","28.17","1526.56","77.70","-1448.85","-94.91","h264"
"E:\Backup\Drone & Go Pro\GO PRO\Go Pro - Carro 25.01.2016\GOPR0992.mp4","4.33","131.21","10.56","-120.65","-91.95","h264"
"E:\Backup\Drone & Go Pro\GO PRO\Go Pro - Carro 25.01.2016\GOPR0997.mp4","11.34","260.10","20.30","-239.81","-92.20","h264"
"E:\Backup\Drone & Go Pro\GO PRO\Go Pro - Diversos 03122015\GOPR0472.mp4","11.31","429.77","17.02","-412.74","-96.04","h264"
